# trivial,nontrivial,accuracy
5.193033990767939589e-02,4.316239316239316448e-01,6.969999999999999807e-02
5.247691015952980764e-02,4.322033898305084887e-01,7.040000000000000424e-02
5.164072360117795413e-02,4.369918699186992050e-01,7.059999999999999609e-02
5.343591905564924055e-02,4.316406250000000000e-01,7.280000000000000360e-02
5.257601351351351426e-02,4.185606060606060774e-01,7.190000000000000557e-02
5.342060810810810717e-02,4.242424242424242542e-01,7.299999999999999545e-02
5.268726195514177035e-02,4.434306569343065552e-01,7.409999999999999920e-02
5.569673867005506263e-02,4.280575539568345356e-01,7.639999999999999569e-02
5.526092490453966832e-02,4.370629370629370847e-01,7.710000000000000187e-02
5.537907666243117172e-02,4.352517985611510931e-01,7.649999999999999856e-02
5.513307984790874472e-02,4.398496240601503793e-01,7.560000000000000053e-02
5.530973451327433899e-02,4.507874015748031260e-01,7.539999999999999480e-02
5.418771043771043738e-02,4.375000000000000000e-01,7.320000000000000118e-02
5.511148506520824331e-02,4.247967479674796820e-01,7.330000000000000404e-02
5.366161616161616021e-02,4.415322580645161255e-01,7.290000000000000646e-02
5.381213142375736863e-02,4.424603174603174427e-01,7.340000000000000691e-02
5.500422297297297147e-02,4.299242424242424310e-01,7.480000000000000537e-02
5.505071851225697144e-02,4.552238805970149071e-01,7.649999999999999856e-02
5.642434488588334712e-02,4.533582089552238847e-01,7.770000000000000517e-02
5.597803126320236716e-02,4.530075187969924699e-01,7.710000000000000187e-02
5.663567202028740172e-02,4.384328358208955390e-01,7.710000000000000187e-02
5.610735418427725829e-02,4.570895522388059851e-01,7.760000000000000231e-02
5.651623787431463847e-02,4.457364341085271464e-01,7.660000000000000142e-02
5.536842105263158065e-02,4.600000000000000200e-01,7.560000000000000053e-02
5.521665965502734613e-02,4.410569105691056757e-01,7.420000000000000207e-02
5.555555555555555247e-02,4.475806451612903136e-01,7.499999999999999722e-02
5.442105263157894640e-02,4.420000000000000040e-01,7.380000000000000449e-02
5.412805391743891886e-02,4.365079365079365115e-01,7.340000000000000691e-02
5.516877637130801482e-02,4.269230769230769051e-01,7.449999999999999678e-02
5.483939137785291684e-02,4.347014925373134386e-01,7.520000000000000295e-02
5.450889077053344689e-02,4.384057971014492794e-01,7.570000000000000340e-02
5.343511450381679267e-02,4.260563380281690016e-01,7.459999999999999964e-02
5.515485787017394836e-02,4.038461538461538547e-01,7.510000000000000009e-02
5.508474576271186335e-02,4.249999999999999889e-01,7.580000000000000626e-02
5.485232067510548842e-02,4.057692307692307709e-01,7.309999999999999831e-02
5.359394703656998604e-02,4.256198347107438273e-01,7.159999999999999698e-02
5.301760268231349438e-02,4.100877192982456121e-01,6.930000000000000049e-02
5.228415758591785367e-02,4.385964912280701511e-01,6.990000000000000380e-02
5.214015946286194164e-02,4.166666666666666852e-01,6.919999999999999762e-02
5.159730979403110568e-02,4.173553719008264440e-01,6.930000000000000049e-02
5.367647058823529077e-02,4.145833333333333592e-01,7.099999999999999367e-02
5.352644836272039963e-02,4.194915254237288060e-01,7.080000000000000182e-02
5.309364548494983210e-02,4.328703703703703498e-01,6.950000000000000622e-02
5.214404662781015748e-02,4.438775510204081565e-01,6.750000000000000444e-02
4.991697799916978290e-02,4.285714285714285476e-01,6.370000000000000662e-02
5.064208782104390877e-02,4.563953488372092804e-01,6.460000000000000464e-02
5.045492142266335550e-02,4.359756097560975596e-01,6.310000000000000331e-02
4.872270292542232872e-02,4.417808219178082085e-01,6.019999999999999657e-02
4.827089337175792527e-02,4.577464788732394374e-01,5.990000000000000185e-02
4.859967051070840371e-02,4.756944444444444198e-01,6.090000000000000274e-02
4.706853839801816708e-02,4.391025641025640969e-01,5.929999999999999855e-02
4.816039685820586863e-02,4.598765432098765316e-01,6.149999999999999911e-02
4.865424430641821646e-02,4.588235294117646856e-01,6.260000000000000286e-02
4.964832436905254609e-02,4.457831325301204739e-01,6.279999999999999472e-02
4.830368225072403932e-02,4.668674698795180489e-01,6.219999999999999835e-02
4.849360297152290750e-02,4.512987012987013102e-01,6.090000000000000274e-02
4.709398186314921880e-02,4.527027027027026862e-01,5.909999999999999976e-02
4.585737840065952364e-02,4.358108108108108003e-01,5.739999999999999963e-02
4.578338156262918429e-02,4.228395061728394966e-01,5.800000000000000294e-02
4.549231408392189618e-02,4.301075268817204367e-01,5.979999999999999899e-02
4.580550918196994725e-02,4.447115384615384359e-01,6.239999999999999714e-02
4.694048616932103984e-02,4.364035087719298489e-01,6.469999999999999363e-02
4.753891459823306881e-02,4.247967479674796820e-01,6.610000000000000597e-02
5.050505050505050414e-02,4.697580645161290591e-01,7.130000000000000226e-02
4.865206402695872179e-02,4.623015873015873245e-01,6.950000000000000622e-02
4.968421052631578905e-02,4.660000000000000253e-01,7.049999999999999323e-02
4.944938585345192567e-02,4.406474820143884696e-01,7.119999999999999940e-02
5.163620909477262960e-02,4.387755102040816202e-01,7.439999999999999392e-02
5.256410256410256471e-02,4.453125000000000000e-01,7.770000000000000517e-02
