# trivial,nontrivial,accuracy
9.873059169114561939e-01,3.611111111111111049e-01,9.579999999999999627e-01
9.873005877413937315e-01,3.453389830508474811e-01,9.569999999999999618e-01
9.869583508624316659e-01,3.495934959349593640e-01,9.556000000000000050e-01
9.868254637436761900e-01,3.398437500000000000e-01,9.536999999999999922e-01
9.869087837837837718e-01,3.560606060606060774e-01,9.536000000000000032e-01
9.872255067567567988e-01,3.522727272727272929e-01,9.536999999999999922e-01
9.866694879390605077e-01,3.485401459854014505e-01,9.516999999999999904e-01
9.868699703515459998e-01,3.489208633093525136e-01,9.514000000000000234e-01
9.862112855324565164e-01,3.653846153846153633e-01,9.506999999999999895e-01
9.866581956797967345e-01,3.651079136690647542e-01,9.520999999999999464e-01
9.863751584283904084e-01,3.703007518796992414e-01,9.536000000000000032e-01
9.871470712178677109e-01,3.622047244094488416e-01,9.554000000000000270e-01
9.871632996632996315e-01,3.568548387096774355e-01,9.558999999999999719e-01
9.872738746318889813e-01,3.617886178861788871e-01,9.565000000000000169e-01
9.872685185185184897e-01,3.629032258064516236e-01,9.563000000000000389e-01
9.874684077506318269e-01,3.611111111111111049e-01,9.558999999999999719e-01
9.871199324324324564e-01,3.598484848484848619e-01,9.539999999999999591e-01
9.879543533389687493e-01,3.712686567164178997e-01,9.548999999999999710e-01
9.871090448013525309e-01,3.805970149253731227e-01,9.546000000000000041e-01
9.872201098436840239e-01,3.646616541353383534e-01,9.540999999999999481e-01
9.867920540997464629e-01,3.563432835820895539e-01,9.529999999999999583e-01
9.868977176669484486e-01,3.694029850746268773e-01,9.537999999999999812e-01
9.862927035006326948e-01,3.682170542635658794e-01,9.544000000000000261e-01
9.874736842105262813e-01,3.739999999999999991e-01,9.567999999999999838e-01
9.873790492217080494e-01,3.556910569105691255e-01,9.563000000000000389e-01
9.874789562289562062e-01,3.669354838709677491e-01,9.566999999999999948e-01
9.871578947368421231e-01,3.559999999999999831e-01,9.556000000000000050e-01
9.874684077506318269e-01,3.630952380952380820e-01,9.559999999999999609e-01
9.869198312236286963e-01,3.615384615384615308e-01,9.544000000000000261e-01
9.879543533389687493e-01,3.768656716417910224e-01,9.552000000000000490e-01
9.871930567315834182e-01,3.731884057971014412e-01,9.533000000000000362e-01
9.884435962680236942e-01,3.591549295774648098e-01,9.526999999999999913e-01
9.868476877386508361e-01,3.706293706293706247e-01,9.516000000000000014e-01
9.872881355932203729e-01,4.017857142857143016e-01,9.545000000000000151e-01
9.861814345991560815e-01,3.942307692307692180e-01,9.554000000000000270e-01
9.880201765447667039e-01,4.132231404958677801e-01,9.602000000000000535e-01
9.877409891031013744e-01,3.793859649122807154e-01,9.599999999999999645e-01
9.880553227158423990e-01,3.925438596491228060e-01,9.608999999999999764e-01
9.875157364666387050e-01,3.589743589743589758e-01,9.580999999999999517e-01
9.878100042034467787e-01,3.822314049586776896e-01,9.585000000000000187e-01
9.866596638655462659e-01,3.895833333333333370e-01,9.579999999999999627e-01
9.876154492023510034e-01,4.152542372881355970e-01,9.606000000000000094e-01
9.873536789297658878e-01,4.236111111111111049e-01,9.629999999999999671e-01
9.879267277268942715e-01,4.489795918367346927e-01,9.667999999999999927e-01
9.883769198837691894e-01,3.873626373626373742e-01,9.665000000000000258e-01
