# trivial,nontrivial,accuracy
9.962232480067142459e-01,8.012820512820513219e-01,9.870999999999999774e-01
9.952770780856423638e-01,7.711864406779661563e-01,9.847000000000000197e-01
9.961085401766932579e-01,7.845528455284552782e-01,9.857000000000000206e-01
9.951517706576727962e-01,7.773437500000000000e-01,9.839999999999999858e-01
9.954603040540540571e-01,7.859848484848485084e-01,9.844000000000000528e-01
9.944045608108108558e-01,7.878787878787878451e-01,9.835000000000000409e-01
9.954506982649174995e-01,7.791970802919707673e-01,9.836000000000000298e-01
9.936467598475222651e-01,7.823741007194244812e-01,9.818999999999999950e-01
9.939541790411540179e-01,7.972027972027971865e-01,9.827000000000000179e-01
9.940703091910207956e-01,7.877697841726618577e-01,9.826000000000000290e-01
9.946134347275031873e-01,8.101503759398496207e-01,9.848000000000000087e-01
9.947324062368310127e-01,7.952755905511811330e-01,9.846000000000000307e-01
9.950547138047137752e-01,7.822580645161290036e-01,9.845000000000000417e-01
9.950567942785023545e-01,7.947154471544715104e-01,9.851999999999999647e-01
9.952651515151514916e-01,7.721774193548387455e-01,9.841999999999999638e-01
9.950505475989890325e-01,7.658730158730159276e-01,9.835000000000000409e-01
9.952491554054053724e-01,7.765151515151514916e-01,9.837000000000000188e-01
9.941885038038884570e-01,7.835820895522388474e-01,9.828999999999999959e-01
9.945054945054945250e-01,8.003731343283582156e-01,9.840999999999999748e-01
9.944021968736798112e-01,7.875939849624060685e-01,9.834000000000000519e-01
9.943998309382924283e-01,7.947761194029850929e-01,9.837000000000000188e-01
9.947168216398986074e-01,7.910447761194029370e-01,9.838000000000000078e-01
9.947279628848587629e-01,8.081395348837209225e-01,9.850999999999999757e-01
9.951578947368421302e-01,7.960000000000000409e-01,9.851999999999999647e-01
9.951619688683214227e-01,7.825203252032519874e-01,9.847000000000000197e-01
9.952651515151514916e-01,7.963709677419354982e-01,9.854000000000000536e-01
9.952631578947368496e-01,7.860000000000000320e-01,9.848000000000000087e-01
9.954717775905644883e-01,7.817460317460317443e-01,9.847000000000000197e-01
9.951476793248945629e-01,7.750000000000000222e-01,9.837000000000000188e-01
9.942941673710904427e-01,7.705223880597015240e-01,9.822999999999999510e-01
9.947078746824724593e-01,7.916666666666666297e-01,9.835000000000000409e-01
9.948049194232400083e-01,7.781690140845070047e-01,9.825000000000000400e-01
9.939541790411540179e-01,7.954545454545454142e-01,9.826000000000000290e-01
9.941737288135593653e-01,7.946428571428570953e-01,9.829999999999999849e-01
9.941983122362869629e-01,8.134615384615384581e-01,9.848000000000000087e-01
9.947456914670029793e-01,8.037190082644628530e-01,9.855000000000000426e-01
9.951802179379715119e-01,7.894736842105263275e-01,9.858000000000000096e-01
9.961232187761944745e-01,7.894736842105263275e-01,9.867000000000000215e-01
9.951741502308014686e-01,7.713675213675214026e-01,9.847000000000000197e-01
9.956914670029424208e-01,7.768595041322313710e-01,9.850999999999999757e-01
9.948529411764706065e-01,7.833333333333333259e-01,9.847000000000000197e-01
9.955919395465995247e-01,7.775423728813559698e-01,9.852999999999999536e-01
9.946697324414716102e-01,8.055555555555555802e-01,9.865000000000000435e-01
9.946919233971690533e-01,8.061224489795918435e-01,9.872999999999999554e-01
9.962640099626400847e-01,7.527472527472527375e-01,9.874000000000000554e-01
9.960646230323114692e-01,8.081395348837209225e-01,9.896000000000000352e-01
9.956575682382133863e-01,8.018292682926829729e-01,9.892999999999999572e-01
9.968067573135558357e-01,7.808219178082191902e-01,9.905000000000000471e-01
9.969123095924248279e-01,7.535211267605633756e-01,9.899999999999999911e-01
9.970140032948928699e-01,7.500000000000000000e-01,9.899000000000000021e-01
9.970066061106523936e-01,7.435897435897436125e-01,9.890999999999999792e-01
9.970028937577510852e-01,7.623456790123457338e-01,9.893999999999999462e-01
9.969979296066252550e-01,7.529411764705882248e-01,9.887000000000000233e-01
9.956557716177079076e-01,7.620481927710843761e-01,9.879000000000000004e-01
9.956557716177079076e-01,7.590361445783132543e-01,9.878000000000000114e-01
9.965951300041271388e-01,7.857142857142856984e-01,9.900999999999999801e-01
9.965993404781533505e-01,7.702702702702702853e-01,9.899000000000000021e-01
9.973206924979389765e-01,7.533783783783783994e-01,9.900999999999999801e-01
9.968995452666391532e-01,7.469135802469135665e-01,9.888000000000000123e-01
9.975072704611549490e-01,7.392473118279569988e-01,9.879000000000000004e-01
9.961393989983305941e-01,7.596153846153845812e-01,9.862999999999999545e-01
9.954945515507125364e-01,7.741228070175438791e-01,9.854000000000000536e-01
9.947412705090450391e-01,7.540650406504064707e-01,9.828999999999999959e-01
9.936868686868687295e-01,7.923387096774193727e-01,9.837000000000000188e-01
9.951558550968828687e-01,7.896825396825396526e-01,9.848000000000000087e-01
9.955789473684210078e-01,7.760000000000000231e-01,9.846000000000000307e-01
9.955527318932655412e-01,7.500000000000000000e-01,9.818999999999999950e-01
9.938376540586485453e-01,7.840136054421769085e-01,9.815000000000000391e-01
9.944444444444444642e-01,7.750000000000000222e-01,9.804000000000000492e-01
9.936749571183532970e-01,7.663690476190476719e-01,9.784000000000000474e-01
9.945722970039079236e-01,7.423857868020304895e-01,9.747000000000000108e-01
9.887652705061081848e-01,7.752403846153845812e-01,9.709999999999999742e-01
9.916410030796304342e-01,7.731277533039647709e-01,9.717999999999999972e-01
9.887011847301447887e-01,7.669683257918552544e-01,9.690999999999999615e-01
9.899735566328778935e-01,7.705627705627705604e-01,9.697000000000000064e-01
9.885563380281690016e-01,7.697368421052631637e-01,9.686000000000000165e-01
9.908104517271921763e-01,7.603305785123967153e-01,9.685000000000000275e-01
9.859388839681133554e-01,7.768595041322313710e-01,9.657000000000000028e-01
9.889135254988913326e-01,7.857142857142856984e-01,9.689999999999999725e-01
9.872134038800705058e-01,7.758620689655172376e-01,9.676000000000000156e-01
9.901417811253876433e-01,7.572016460905349744e-01,9.675000000000000266e-01
9.869005328596802684e-01,7.651209677419354982e-01,9.648999999999999799e-01
9.888913824057450341e-01,7.628676470588234837e-01,9.643000000000000460e-01
9.864498644986450238e-01,7.622377622377621842e-01,9.607999999999999874e-01
