# training,testing
9.693000000000000504e-01,9.689999999999999725e-01
9.693000000000000504e-01,9.689999999999999725e-01
9.693000000000000504e-01,9.689999999999999725e-01
9.693000000000000504e-01,9.689999999999999725e-01
9.693000000000000504e-01,9.689999999999999725e-01
9.693000000000000504e-01,9.689999999999999725e-01
9.693000000000000504e-01,9.689999999999999725e-01
9.693000000000000504e-01,9.689999999999999725e-01
9.693000000000000504e-01,9.689999999999999725e-01
9.693000000000000504e-01,9.689999999999999725e-01
9.693000000000000504e-01,9.689999999999999725e-01
9.693000000000000504e-01,9.689999999999999725e-01
9.693000000000000504e-01,9.689999999999999725e-01
9.693000000000000504e-01,9.689999999999999725e-01
9.693000000000000504e-01,9.689999999999999725e-01
9.693000000000000504e-01,9.689999999999999725e-01
9.693000000000000504e-01,9.689999999999999725e-01
9.693000000000000504e-01,9.689999999999999725e-01
9.693000000000000504e-01,9.689999999999999725e-01
9.693000000000000504e-01,9.689999999999999725e-01
9.693000000000000504e-01,9.689999999999999725e-01
9.693000000000000504e-01,9.689999999999999725e-01
9.693000000000000504e-01,9.689999999999999725e-01
9.693000000000000504e-01,9.689999999999999725e-01
9.693000000000000504e-01,9.689999999999999725e-01
9.693000000000000504e-01,9.689999999999999725e-01
9.693000000000000504e-01,9.689999999999999725e-01
9.693000000000000504e-01,9.689999999999999725e-01
9.693000000000000504e-01,9.689999999999999725e-01
9.693000000000000504e-01,9.689999999999999725e-01
9.693000000000000504e-01,9.689999999999999725e-01
9.693000000000000504e-01,9.689999999999999725e-01
9.693000000000000504e-01,9.689999999999999725e-01
9.693000000000000504e-01,9.689999999999999725e-01
9.693000000000000504e-01,9.689999999999999725e-01
9.693000000000000504e-01,9.689999999999999725e-01
9.693000000000000504e-01,9.689999999999999725e-01
9.693000000000000504e-01,9.689999999999999725e-01
9.693000000000000504e-01,9.689999999999999725e-01
9.693000000000000504e-01,9.689999999999999725e-01
