# training,testing
9.627000000000000002e-01,9.617999999999999883e-01
9.695000000000000284e-01,9.681999999999999496e-01
9.625000000000000222e-01,9.610999999999999543e-01
9.668999999999999817e-01,9.667999999999999927e-01
9.627999999999999892e-01,9.624000000000000332e-01
9.686000000000000165e-01,9.671999999999999487e-01
9.565000000000000169e-01,9.548999999999999710e-01
9.500999999999999446e-01,9.484000000000000208e-01
9.471000000000000529e-01,9.452000000000000401e-01
9.599999999999999645e-01,9.615000000000000213e-01
9.641999999999999460e-01,9.674000000000000377e-01
9.619999999999999662e-01,9.636000000000000121e-01
9.627999999999999892e-01,9.646000000000000130e-01
9.675000000000000266e-01,9.687000000000000055e-01
9.698999999999999844e-01,9.716000000000000192e-01
9.737999999999999989e-01,9.747999999999999998e-01
9.685000000000000275e-01,9.671999999999999487e-01
9.606999999999999984e-01,9.606999999999999984e-01
9.670999999999999597e-01,9.675000000000000266e-01
9.700999999999999623e-01,9.697999999999999954e-01
9.720999999999999641e-01,9.703000000000000513e-01
9.612000000000000544e-01,9.603000000000000425e-01
9.600999999999999535e-01,9.592000000000000526e-01
9.703000000000000513e-01,9.681999999999999496e-01
9.604000000000000314e-01,9.615000000000000213e-01
9.668999999999999817e-01,9.680999999999999606e-01
9.670999999999999597e-01,9.677999999999999936e-01
9.616999999999999993e-01,9.637000000000000011e-01
9.696000000000000174e-01,9.691999999999999504e-01
9.587999999999999856e-01,9.605000000000000204e-01
9.679999999999999716e-01,9.667999999999999927e-01
9.670999999999999597e-01,9.660999999999999588e-01
9.677999999999999936e-01,9.680999999999999606e-01
9.677000000000000046e-01,9.674000000000000377e-01
9.665000000000000258e-01,9.664000000000000368e-01
9.625000000000000222e-01,9.649999999999999689e-01
9.646000000000000130e-01,9.659999999999999698e-01
9.705000000000000293e-01,9.700999999999999623e-01
9.650999999999999579e-01,9.636000000000000121e-01
9.693000000000000504e-01,9.689999999999999725e-01
