# trivial,nontrivial,accuracy
1.000000000000000000e+00,0.000000000000000000e+00,9.983999999999999542e-01
1.000000000000000000e+00,0.000000000000000000e+00,9.983999999999999542e-01
1.000000000000000000e+00,0.000000000000000000e+00,9.976000000000000423e-01
1.000000000000000000e+00,0.000000000000000000e+00,9.971999999999999753e-01
1.000000000000000000e+00,0.000000000000000000e+00,9.976000000000000423e-01
1.000000000000000000e+00,0.000000000000000000e+00,9.983999999999999542e-01
1.000000000000000000e+00,0.000000000000000000e+00,9.976000000000000423e-01
1.000000000000000000e+00,0.000000000000000000e+00,9.968000000000000194e-01
1.000000000000000000e+00,0.000000000000000000e+00,9.963999999999999524e-01
1.000000000000000000e+00,0.000000000000000000e+00,9.959999999999999964e-01
1.000000000000000000e+00,0.000000000000000000e+00,9.959999999999999964e-01
1.000000000000000000e+00,0.000000000000000000e+00,9.956000000000000405e-01
1.000000000000000000e+00,0.000000000000000000e+00,9.959999999999999964e-01
1.000000000000000000e+00,0.000000000000000000e+00,9.956000000000000405e-01
1.000000000000000000e+00,0.000000000000000000e+00,9.959999999999999964e-01
1.000000000000000000e+00,0.000000000000000000e+00,9.959999999999999964e-01
1.000000000000000000e+00,0.000000000000000000e+00,9.956000000000000405e-01
1.000000000000000000e+00,0.000000000000000000e+00,9.959999999999999964e-01
1.000000000000000000e+00,0.000000000000000000e+00,9.959999999999999964e-01
1.000000000000000000e+00,0.000000000000000000e+00,9.959999999999999964e-01
1.000000000000000000e+00,0.000000000000000000e+00,9.963999999999999524e-01
1.000000000000000000e+00,0.000000000000000000e+00,9.963999999999999524e-01
1.000000000000000000e+00,0.000000000000000000e+00,9.959999999999999964e-01
1.000000000000000000e+00,0.000000000000000000e+00,9.956000000000000405e-01
1.000000000000000000e+00,0.000000000000000000e+00,9.956000000000000405e-01
1.000000000000000000e+00,0.000000000000000000e+00,9.968000000000000194e-01
1.000000000000000000e+00,0.000000000000000000e+00,9.968000000000000194e-01
1.000000000000000000e+00,0.000000000000000000e+00,9.951999999999999735e-01
1.000000000000000000e+00,0.000000000000000000e+00,9.943999999999999506e-01
1.000000000000000000e+00,0.000000000000000000e+00,9.951999999999999735e-01
1.000000000000000000e+00,0.000000000000000000e+00,9.968000000000000194e-01
1.000000000000000000e+00,0.000000000000000000e+00,9.951999999999999735e-01
1.000000000000000000e+00,0.000000000000000000e+00,9.936000000000000387e-01
1.000000000000000000e+00,0.000000000000000000e+00,9.928000000000000158e-01
1.000000000000000000e+00,0.000000000000000000e+00,9.919999999999999929e-01
1.000000000000000000e+00,0.000000000000000000e+00,9.919999999999999929e-01
1.000000000000000000e+00,0.000000000000000000e+00,9.911999999999999700e-01
1.000000000000000000e+00,0.000000000000000000e+00,9.919999999999999929e-01
1.000000000000000000e+00,0.000000000000000000e+00,9.911999999999999700e-01
1.000000000000000000e+00,0.000000000000000000e+00,9.919999999999999929e-01
1.000000000000000000e+00,0.000000000000000000e+00,9.919999999999999929e-01
1.000000000000000000e+00,0.000000000000000000e+00,9.911999999999999700e-01
1.000000000000000000e+00,0.000000000000000000e+00,9.919999999999999929e-01
1.000000000000000000e+00,0.000000000000000000e+00,9.919999999999999929e-01
1.000000000000000000e+00,0.000000000000000000e+00,9.919999999999999929e-01
1.000000000000000000e+00,0.000000000000000000e+00,9.928000000000000158e-01
1.000000000000000000e+00,0.000000000000000000e+00,9.928000000000000158e-01
1.000000000000000000e+00,0.000000000000000000e+00,9.919999999999999929e-01
1.000000000000000000e+00,0.000000000000000000e+00,9.911999999999999700e-01
