# trivial,nontrivial,accuracy
9.990985576923077094e-01,4.375000000000000000e-01,9.981999999999999762e-01
9.991987179487179516e-01,5.000000000000000000e-01,9.983999999999999542e-01
9.993985565356856560e-01,1.666666666666666574e-01,9.973999999999999533e-01
9.987966305655836541e-01,2.500000000000000000e-01,9.967000000000000304e-01
9.988973536487569804e-01,2.916666666666666852e-01,9.971999999999999753e-01
9.986979166666666297e-01,5.000000000000000000e-01,9.979000000000000092e-01
9.986968724939855324e-01,1.666666666666666574e-01,9.967000000000000304e-01
9.982945425361156033e-01,3.437500000000000000e-01,9.961999999999999744e-01
9.985949417904456116e-01,3.333333333333333148e-01,9.961999999999999744e-01
9.985943775100402098e-01,2.750000000000000222e-01,9.957000000000000295e-01
9.984939759036144391e-01,1.749999999999999889e-01,9.951999999999999735e-01
9.980916030534351391e-01,2.954545454545454697e-01,9.949999999999999956e-01
9.981927710843373491e-01,2.999999999999999889e-01,9.953999999999999515e-01
9.980916030534351391e-01,2.727272727272727071e-01,9.949000000000000066e-01
9.983935742971887795e-01,2.000000000000000111e-01,9.951999999999999735e-01
9.979919678714859188e-01,3.499999999999999778e-01,9.953999999999999515e-01
9.982924869425472414e-01,3.409090909090908839e-01,9.953999999999999515e-01
9.980923694779116895e-01,3.250000000000000111e-01,9.953999999999999515e-01
9.981927710843373491e-01,2.250000000000000056e-01,9.950999999999999845e-01
9.978915662650602592e-01,3.499999999999999778e-01,9.952999999999999625e-01
9.974909674829385287e-01,4.444444444444444198e-01,9.955000000000000515e-01
9.979927739863508895e-01,5.277777777777777901e-01,9.962999999999999634e-01
9.983935742971887795e-01,3.499999999999999778e-01,9.958000000000000185e-01
9.985938127762153949e-01,3.181818181818181768e-01,9.956000000000000405e-01
9.981920449979911902e-01,3.181818181818181768e-01,9.951999999999999735e-01
9.981942215088283055e-01,4.687500000000000000e-01,9.965000000000000524e-01
9.983948635634029012e-01,4.062500000000000000e-01,9.965000000000000524e-01
9.984927652733118775e-01,2.291666666666666574e-01,9.948000000000000176e-01
9.978881737731295498e-01,3.035714285714285476e-01,9.939999999999999947e-01
9.976889067524116195e-01,3.125000000000000000e-01,9.943999999999999506e-01
9.975922953451042963e-01,4.062500000000000000e-01,9.957000000000000295e-01
9.972869774919613794e-01,2.500000000000000000e-01,9.937000000000000277e-01
9.971819645732689086e-01,3.750000000000000000e-01,9.931999999999999718e-01
9.974818694601128577e-01,3.611111111111111049e-01,9.929000000000000048e-01
9.977822580645161477e-01,2.750000000000000222e-01,9.919999999999999929e-01
9.974798387096773800e-01,2.500000000000000000e-01,9.915000000000000480e-01
9.970742534301856308e-01,3.409090909090908839e-01,9.912999999999999590e-01
9.970766129032258007e-01,3.375000000000000222e-01,9.918000000000000149e-01
9.970742534301856308e-01,2.840909090909091161e-01,9.908000000000000140e-01
9.973790322580645684e-01,2.500000000000000000e-01,9.913999999999999480e-01
9.967741935483871440e-01,4.000000000000000222e-01,9.919999999999999929e-01
9.969733656174334380e-01,3.750000000000000000e-01,9.915000000000000480e-01
9.968749999999999556e-01,3.250000000000000111e-01,9.915000000000000480e-01
9.970766129032258007e-01,2.625000000000000111e-01,9.911999999999999700e-01
9.964717741935483764e-01,4.249999999999999889e-01,9.919000000000000039e-01
9.956688154713940753e-01,4.166666666666666852e-01,9.915000000000000480e-01
9.965753424657534110e-01,4.444444444444444198e-01,9.926000000000000378e-01
9.968749999999999556e-01,2.999999999999999889e-01,9.912999999999999590e-01
9.969733656174334380e-01,3.636363636363636465e-01,9.913999999999999480e-01
9.964689265536723628e-01,3.409090909090908839e-01,9.907000000000000250e-01
9.964774557165861912e-01,4.218750000000000000e-01,9.928000000000000158e-01
9.960748792270531782e-01,3.906250000000000000e-01,9.921999999999999709e-01
9.965670436187399339e-01,2.916666666666666852e-01,9.898000000000000131e-01
9.961569579288025444e-01,3.035714285714285476e-01,9.883999999999999453e-01
9.953554119547657342e-01,2.812500000000000000e-01,9.885000000000000453e-01
9.949677938808373368e-01,3.906250000000000000e-01,9.910999999999999810e-01
9.948505654281099009e-01,3.020833333333333148e-01,9.881999999999999673e-01
9.950364667747163550e-01,3.671875000000000000e-01,9.869999999999999885e-01
9.954342532467532756e-01,3.541666666666666852e-01,9.861999999999999655e-01
9.953252032520325532e-01,2.750000000000000222e-01,9.838000000000000078e-01
9.951219512195121908e-01,2.874999999999999778e-01,9.838000000000000078e-01
9.950122149837133945e-01,3.409090909090908839e-01,9.835000000000000409e-01
9.948170731707317582e-01,3.312499999999999889e-01,9.841999999999999638e-01
9.942996742671009747e-01,2.897727272727272929e-01,9.818999999999999950e-01
9.949186991869918284e-01,2.937500000000000111e-01,9.837000000000000188e-01
9.944105691056910334e-01,4.000000000000000222e-01,9.848999999999999977e-01
9.945032573289902533e-01,3.750000000000000000e-01,9.836000000000000298e-01
9.938008130081300573e-01,3.187499999999999778e-01,9.829999999999999849e-01
9.942073170731707821e-01,2.999999999999999889e-01,9.830999999999999739e-01
9.934959349593496247e-01,4.375000000000000000e-01,9.846000000000000307e-01
