# trivial,nontrivial,accuracy
9.998998397435897578e-01,9.375000000000000000e-01,9.998000000000000220e-01
1.000000000000000000e+00,8.750000000000000000e-01,9.998000000000000220e-01
9.998997594226142205e-01,8.750000000000000000e-01,9.996000000000000441e-01
9.998997192137986101e-01,8.214285714285713969e-01,9.993999999999999551e-01
9.998997594226142205e-01,7.500000000000000000e-01,9.992999999999999661e-01
9.998998397435897578e-01,7.500000000000000000e-01,9.995000000000000551e-01
9.995990376904571040e-01,6.666666666666666297e-01,9.988000000000000211e-01
9.998996789727127021e-01,7.812500000000000000e-01,9.991999999999999771e-01
9.996989160979525835e-01,7.777777777777777901e-01,9.989000000000000101e-01
9.998995983935743403e-01,7.750000000000000222e-01,9.989999999999999991e-01
9.998995983935743403e-01,7.500000000000000000e-01,9.989000000000000101e-01
9.997991161108878977e-01,6.363636363636363535e-01,9.981999999999999762e-01
1.000000000000000000e+00,8.249999999999999556e-01,9.992999999999999661e-01
9.998995580554439488e-01,7.045454545454545858e-01,9.986000000000000432e-01
9.997991967871485697e-01,7.750000000000000222e-01,9.989000000000000101e-01
9.995983935742971394e-01,6.500000000000000222e-01,9.981999999999999762e-01
9.996986741663318465e-01,8.181818181818182323e-01,9.989000000000000101e-01
9.992971887550200494e-01,8.000000000000000444e-01,9.985000000000000542e-01
9.992971887550200494e-01,6.999999999999999556e-01,9.980999999999999872e-01
9.993975903614458201e-01,6.500000000000000222e-01,9.979999999999999982e-01
9.996989160979525835e-01,9.166666666666666297e-01,9.993999999999999551e-01
9.995985547972702223e-01,8.333333333333333703e-01,9.989999999999999991e-01
9.995983935742971394e-01,8.000000000000000444e-01,9.988000000000000211e-01
9.995982322217757954e-01,7.045454545454545858e-01,9.982999999999999652e-01
9.995982322217757954e-01,7.045454545454545858e-01,9.982999999999999652e-01
9.992977528089888040e-01,9.062500000000000000e-01,9.989999999999999991e-01
9.994983948635633997e-01,8.750000000000000000e-01,9.990999999999999881e-01
9.993971061093247510e-01,8.333333333333333703e-01,9.986000000000000432e-01
9.993966210780370618e-01,7.857142857142856984e-01,9.981999999999999762e-01
9.994975884244372555e-01,7.083333333333333703e-01,9.980999999999999872e-01
9.993980738362761018e-01,7.500000000000000000e-01,9.986000000000000432e-01
9.987942122186495020e-01,6.250000000000000000e-01,9.969999999999999973e-01
9.989935587761674674e-01,7.656250000000000000e-01,9.975000000000000533e-01
9.986905721192587126e-01,8.194444444444444198e-01,9.973999999999999533e-01
9.990927419354839190e-01,7.750000000000000222e-01,9.972999999999999643e-01
9.988911290322580738e-01,7.249999999999999778e-01,9.967000000000000304e-01
9.985875706214689673e-01,6.590909090909090606e-01,9.956000000000000405e-01
9.985887096774193061e-01,8.125000000000000000e-01,9.970999999999999863e-01
9.986884584342211602e-01,7.045454545454545858e-01,9.960999999999999854e-01
9.986895161290322287e-01,7.249999999999999778e-01,9.965000000000000524e-01
9.983870967741935720e-01,6.624999999999999778e-01,9.957000000000000295e-01
9.984866828087166635e-01,8.295454545454545858e-01,9.969999999999999973e-01
9.981854838709677269e-01,8.249999999999999556e-01,9.968000000000000194e-01
9.979838709677418818e-01,6.750000000000000444e-01,9.953999999999999515e-01
9.979838709677418818e-01,6.750000000000000444e-01,9.953999999999999515e-01
9.985898468976631692e-01,9.166666666666666297e-01,9.979999999999999982e-01
9.987912973408541450e-01,8.333333333333333703e-01,9.976000000000000423e-01
9.990927419354839190e-01,7.750000000000000222e-01,9.972999999999999643e-01
9.989911218724778497e-01,6.931818181818182323e-01,9.962999999999999634e-01
9.991928974979822353e-01,7.500000000000000000e-01,9.969999999999999973e-01
9.981884057971014412e-01,8.750000000000000000e-01,9.973999999999999533e-01
9.984903381642512565e-01,8.750000000000000000e-01,9.977000000000000313e-01
9.981825525040387559e-01,7.812500000000000000e-01,9.960999999999999854e-01
9.984830097087378231e-01,7.767857142857143016e-01,9.959999999999999964e-01
9.985864297253634891e-01,6.770833333333333703e-01,9.955000000000000515e-01
9.983896940418679478e-01,7.500000000000000000e-01,9.968000000000000194e-01
9.972738287560581893e-01,6.145833333333333703e-01,9.936000000000000387e-01
9.973662884927066985e-01,7.500000000000000000e-01,9.941999999999999726e-01
9.970576298701299134e-01,8.333333333333333703e-01,9.947000000000000286e-01
9.976626016260162766e-01,7.624999999999999556e-01,9.939000000000000057e-01
9.973577235772357330e-01,7.187500000000000000e-01,9.929000000000000048e-01
9.968444625407165693e-01,6.818181818181817677e-01,9.912999999999999590e-01
9.965447154471545055e-01,8.000000000000000444e-01,9.933999999999999497e-01
9.967426710097719855e-01,6.875000000000000000e-01,9.912999999999999590e-01
9.969512195121951192e-01,7.062500000000000444e-01,9.922999999999999599e-01
9.967479674796747569e-01,6.750000000000000444e-01,9.916000000000000369e-01
9.965390879478827069e-01,8.295454545454545858e-01,9.936000000000000387e-01
9.963414634146341431e-01,8.375000000000000222e-01,9.938000000000000167e-01
9.959349593495935293e-01,6.624999999999999778e-01,9.906000000000000361e-01
9.958333333333333481e-01,6.999999999999999556e-01,9.910999999999999810e-01
9.969561688311687764e-01,8.819444444444444198e-01,9.952999999999999625e-01
9.973620129870129913e-01,8.333333333333333703e-01,9.949999999999999956e-01
9.980691056910568904e-01,7.624999999999999556e-01,9.942999999999999616e-01
9.975570032573289891e-01,6.931818181818182323e-01,9.921999999999999709e-01
9.980659609120521303e-01,7.613636363636363535e-01,9.939000000000000057e-01
9.960494327390599922e-01,8.359375000000000000e-01,9.939999999999999947e-01
9.961522883758606728e-01,8.870967741935483764e-01,9.948000000000000176e-01
9.953137734311328089e-01,7.500000000000000000e-01,9.908000000000000140e-01
9.965277777777777901e-01,7.836538461538461453e-01,9.920999999999999819e-01
9.966381418092910005e-01,6.739130434782608647e-01,9.907000000000000250e-01
9.960510328068044039e-01,7.741935483870967527e-01,9.932999999999999607e-01
9.943969030154848898e-01,6.304347826086956763e-01,9.877000000000000224e-01
9.943670626792298073e-01,7.500000000000000000e-01,9.886000000000000343e-01
9.943485408960131000e-01,8.134328358208955390e-01,9.895000000000000462e-01
9.946435929130613696e-01,7.636986301369863561e-01,9.879000000000000004e-01
9.946413849958779529e-01,7.162162162162162282e-01,9.864000000000000545e-01
9.938016528925619486e-01,6.999999999999999556e-01,9.844000000000000528e-01
9.936108821104698841e-01,7.804054054054053724e-01,9.872999999999999554e-01
9.931818181818181657e-01,6.781249999999999778e-01,9.830999999999999739e-01
9.939200329760923269e-01,7.060810810810810301e-01,9.854000000000000536e-01
9.940255459414915062e-01,6.986301369863013866e-01,9.854000000000000536e-01
9.935923935510541094e-01,8.117283950617284471e-01,9.877000000000000224e-01
9.928924598269468493e-01,8.424657534246575707e-01,9.885000000000000453e-01
9.924773289365210749e-01,6.655405405405405705e-01,9.828000000000000069e-01
9.922744128553769860e-01,7.191780821917808098e-01,9.842999999999999527e-01
9.940402794903411277e-01,8.544776119402984760e-01,9.902999999999999581e-01
9.942481511914543768e-01,8.371212121212121549e-01,9.900999999999999801e-01
9.954657873042044303e-01,7.601351351351350871e-01,9.885000000000000453e-01
9.947314049586777340e-01,7.062500000000000444e-01,9.855000000000000426e-01
9.956593633732947479e-01,7.530864197530864335e-01,9.878000000000000114e-01
9.925235559197050916e-01,8.305084745762711940e-01,9.887000000000000233e-01
9.919189852700490695e-01,8.883928571428570953e-01,9.896000000000000352e-01
9.906030565881867034e-01,7.468354430379746667e-01,9.828999999999999959e-01
9.929577464788732488e-01,7.936046511627906641e-01,9.860999999999999766e-01
9.932878975629905183e-01,6.993670886075948889e-01,9.839999999999999858e-01
9.918166939443535668e-01,7.991071428571429047e-01,9.875000000000000444e-01
9.896736885584469512e-01,6.582278481012657778e-01,9.791999999999999593e-01
9.897046589018302365e-01,7.604166666666666297e-01,9.808999999999999941e-01
9.901714763697198052e-01,8.119266055045871733e-01,9.824000000000000510e-01
9.896182885906040783e-01,7.737068965517240882e-01,9.796000000000000263e-01
9.900293870696893483e-01,7.266949152542372392e-01,9.776000000000000245e-01
9.890572390572390793e-01,7.217741935483871218e-01,9.758000000000000007e-01
9.891897565071368081e-01,7.838983050847457834e-01,9.795000000000000373e-01
9.874736842105262813e-01,6.939999999999999503e-01,9.727999999999999980e-01
9.889798488664987008e-01,7.182203389830508211e-01,9.761999999999999567e-01
9.898280201342282147e-01,7.219827586206896131e-01,9.774000000000000465e-01
9.893549747048904219e-01,8.125000000000000000e-01,9.802999999999999492e-01
9.879404362416107643e-01,8.448275862068965747e-01,9.812999999999999501e-01
9.874055415617128961e-01,6.822033898305084332e-01,9.729999999999999760e-01
9.872063758389261201e-01,7.370689655172413257e-01,9.756000000000000227e-01
9.898578000836469881e-01,8.463302752293577758e-01,9.836000000000000298e-01
9.894527986633250283e-01,8.419811320754716499e-01,9.831999999999999629e-01
9.911801763964720458e-01,7.626050420168066779e-01,9.802999999999999492e-01
9.904170176916596846e-01,7.222222222222222099e-01,9.768999999999999906e-01
9.919898819561551173e-01,7.656250000000000000e-01,9.804000000000000492e-01
9.870062370062370194e-01,8.315789473684210842e-01,9.810999999999999721e-01
9.858803986710963363e-01,8.777173913043477826e-01,9.818999999999999950e-01
9.843421605716687894e-01,7.603305785123967153e-01,9.735000000000000320e-01
9.881806669480793781e-01,8.034351145038167719e-01,9.785000000000000364e-01
9.879150903741067413e-01,7.210743801652892415e-01,9.749999999999999778e-01
