# training,testing
9.212000000000000188e-01,9.113999999999999879e-01
9.131000000000000227e-01,9.089000000000000412e-01
9.114999999999999769e-01,9.083999999999999853e-01
9.085999999999999632e-01,9.043999999999999817e-01
9.075999999999999623e-01,9.122999999999999998e-01
9.082000000000000073e-01,9.053999999999999826e-01
9.015999999999999570e-01,9.059000000000000385e-01
9.039000000000000368e-01,9.082000000000000073e-01
9.122000000000000108e-01,9.042000000000000037e-01
9.033999999999999808e-01,9.098000000000000531e-01
9.142000000000000126e-01,9.133999999999999897e-01
9.106999999999999540e-01,9.133999999999999897e-01
9.048000000000000487e-01,9.054999999999999716e-01
9.122000000000000108e-01,9.185999999999999721e-01
9.149000000000000465e-01,9.092000000000000082e-01
9.055999999999999606e-01,9.025999999999999579e-01
9.043999999999999817e-01,9.018000000000000460e-01
9.055999999999999606e-01,9.261000000000000343e-01
9.150000000000000355e-01,9.150000000000000355e-01
9.272000000000000242e-01,9.131000000000000227e-01
9.180000000000000382e-01,9.130000000000000338e-01
9.098000000000000531e-01,9.135999999999999677e-01
9.091000000000000192e-01,9.255999999999999783e-01
9.250000000000000444e-01,9.090000000000000302e-01
9.121000000000000218e-01,9.021000000000000130e-01
9.019000000000000350e-01,8.937000000000000499e-01
8.968000000000000416e-01,8.967000000000000526e-01
8.858000000000000318e-01,8.861999999999999877e-01
8.888000000000000345e-01,8.866000000000000547e-01
8.801999999999999824e-01,8.820999999999999952e-01
8.920000000000000151e-01,8.898000000000000353e-01
8.891999999999999904e-01,8.958000000000000407e-01
8.915999999999999481e-01,8.918000000000000371e-01
8.921999999999999931e-01,8.837000000000000410e-01
8.806000000000000494e-01,8.862999999999999767e-01
8.949000000000000288e-01,8.915999999999999481e-01
8.872999999999999776e-01,8.903999999999999693e-01
8.923999999999999710e-01,8.921000000000000041e-01
8.870000000000000107e-01,8.898000000000000353e-01
9.019000000000000350e-01,8.923999999999999710e-01
