# trivial,nontrivial,accuracy
1.000000000000000000e+00,8.064516129032257841e-02,9.771999999999999575e-01
1.000000000000000000e+00,7.539682539682539264e-02,9.767000000000000126e-01
1.000000000000000000e+00,7.499999999999999722e-02,9.778000000000000025e-01
1.000000000000000000e+00,7.786885245901639663e-02,9.775000000000000355e-01
1.000000000000000000e+00,7.786885245901639663e-02,9.775000000000000355e-01
1.000000000000000000e+00,7.499999999999999722e-02,9.778000000000000025e-01
1.000000000000000000e+00,7.786885245901639663e-02,9.775000000000000355e-01
1.000000000000000000e+00,7.661290322580645296e-02,9.770999999999999686e-01
1.000000000000000000e+00,6.923076923076923461e-02,9.758000000000000007e-01
1.000000000000000000e+00,7.786885245901639663e-02,9.775000000000000355e-01
1.000000000000000000e+00,8.064516129032257841e-02,9.771999999999999575e-01
1.000000000000000000e+00,7.539682539682539264e-02,9.767000000000000126e-01
1.000000000000000000e+00,7.575757575757575968e-02,9.756000000000000227e-01
1.000000000000000000e+00,8.064516129032257841e-02,9.771999999999999575e-01
1.000000000000000000e+00,7.936507936507936067e-02,9.768000000000000016e-01
1.000000000000000000e+00,7.812500000000000000e-02,9.764000000000000457e-01
1.000000000000000000e+00,7.462686567164178442e-02,9.751999999999999558e-01
1.000000000000000000e+00,7.539682539682539264e-02,9.767000000000000126e-01
1.000000000000000000e+00,7.812500000000000000e-02,9.764000000000000457e-01
1.000000000000000000e+00,7.575757575757575968e-02,9.756000000000000227e-01
1.000000000000000000e+00,6.521739130434782428e-02,9.741999999999999549e-01
1.000000000000000000e+00,7.421875000000000000e-02,9.762999999999999456e-01
1.000000000000000000e+00,7.575757575757575968e-02,9.756000000000000227e-01
1.000000000000000000e+00,6.716417910447761153e-02,9.749999999999999778e-01
1.000000000000000000e+00,6.521739130434782428e-02,9.741999999999999549e-01
1.000000000000000000e+00,7.307692307692308098e-02,9.758999999999999897e-01
1.000000000000000000e+00,6.818181818181817677e-02,9.754000000000000448e-01
1.000000000000000000e+00,6.716417910447761153e-02,9.749999999999999778e-01
1.000000000000000000e+00,6.428571428571427937e-02,9.737999999999999989e-01
1.000000000000000000e+00,6.439393939393939226e-02,9.752999999999999448e-01
1.000000000000000000e+00,6.716417910447761153e-02,9.749999999999999778e-01
1.000000000000000000e+00,6.617647058823529493e-02,9.746000000000000218e-01
