# trivial,nontrivial,accuracy
9.727235438884331842e-01,1.451612903225806550e-01,9.522000000000000464e-01
9.717890849405006470e-01,1.468253968253968311e-01,9.509999999999999565e-01
9.713114754098360892e-01,1.458333333333333426e-01,9.515000000000000124e-01
9.715047150471505244e-01,1.434426229508196649e-01,9.513000000000000345e-01
9.706847068470684237e-01,1.434426229508196649e-01,9.505000000000000115e-01
9.703893442622950616e-01,1.375000000000000111e-01,9.504000000000000226e-01
9.705822058220582305e-01,1.393442622950819554e-01,9.503000000000000336e-01
9.699548810500410179e-01,1.330645161290322509e-01,9.492000000000000437e-01
9.698151950718685299e-01,1.153846153846153910e-01,9.475999999999999979e-01
9.690446904469044442e-01,1.393442622950819554e-01,9.487999999999999767e-01
9.688269073010664645e-01,1.290322580645161255e-01,9.479999999999999538e-01
9.687115305703734025e-01,1.150793650793650730e-01,9.472000000000000419e-01
9.687756778964666804e-01,1.174242424242424310e-01,9.463000000000000300e-01
9.675963904840032548e-01,1.290322580645161255e-01,9.467999999999999750e-01
9.683011899876897699e-01,1.190476190476190410e-01,9.468999999999999639e-01
9.686986863711001261e-01,1.289062500000000000e-01,9.472000000000000419e-01
9.685573366214550450e-01,1.119402985074626905e-01,9.455999999999999961e-01
9.685063602790315862e-01,1.349206349206349131e-01,9.475000000000000089e-01
9.691091954022988952e-01,1.367187500000000000e-01,9.477999999999999758e-01
9.693919474116680091e-01,1.250000000000000000e-01,9.471000000000000529e-01
9.697655285890579568e-01,1.304347826086956486e-01,9.465999999999999970e-01
9.690065681444991474e-01,1.523437500000000000e-01,9.481000000000000538e-01
9.697000821692687289e-01,1.363636363636363535e-01,9.476999999999999869e-01
9.700986436498150178e-01,1.455223880597014963e-01,9.479999999999999538e-01
9.700740436034553937e-01,1.449275362318840632e-01,9.473000000000000309e-01
9.693018480492813227e-01,1.538461538461538547e-01,9.481000000000000538e-01
9.704190632703368902e-01,1.515151515151515194e-01,9.487999999999999767e-01
9.706124126592683421e-01,1.604477611940298420e-01,9.488999999999999657e-01
9.705761316872427713e-01,1.428571428571428492e-01,9.474000000000000199e-01
9.705217748562038338e-01,1.666666666666666574e-01,9.493000000000000327e-01
9.711261816687217774e-01,1.716417910447761153e-01,9.496999999999999886e-01
9.709087171052631637e-01,1.507352941176470507e-01,9.485999999999999988e-01
9.712844792095512991e-01,1.514084507042253447e-01,9.479999999999999538e-01
9.703041512535963697e-01,1.753731343283582156e-01,9.489999999999999547e-01
9.706003289473684736e-01,1.544117647058823595e-01,9.484000000000000208e-01
9.706910736322501565e-01,1.594202898550724501e-01,9.483000000000000318e-01
9.703459637561778761e-01,1.527777777777777901e-01,9.467999999999999750e-01
9.695723684210526550e-01,1.654411764705882304e-01,9.476999999999999869e-01
9.698559670781893294e-01,1.571428571428571397e-01,9.471000000000000529e-01
9.696377109921778814e-01,1.654929577464788748e-01,9.467999999999999750e-01
9.694066749072929312e-01,1.472602739726027454e-01,9.454000000000000181e-01
9.685185185185185563e-01,1.642857142857142849e-01,9.459999999999999520e-01
9.687114038699052854e-01,1.690140845070422504e-01,9.459999999999999520e-01
9.684026348291477904e-01,1.478873239436619691e-01,9.451000000000000512e-01
9.682605111294311229e-01,1.486486486486486569e-01,9.439999999999999503e-01
9.671810699588477833e-01,1.678571428571428437e-01,9.447999999999999732e-01
9.674763277068753053e-01,1.478873239436619691e-01,9.442000000000000393e-01
9.673599670510708570e-01,1.527777777777777901e-01,9.438999999999999613e-01
9.670103092783505216e-01,1.466666666666666674e-01,9.424000000000000155e-01
9.661383285302593826e-01,1.514084507042253447e-01,9.429999999999999494e-01
9.664332784184513914e-01,1.527777777777777901e-01,9.429999999999999494e-01
9.664194478780386843e-01,1.541095890410958957e-01,9.426999999999999824e-01
9.663778877887788665e-01,1.381578947368421184e-01,9.412000000000000366e-01
9.658154859967050809e-01,1.666666666666666574e-01,9.427999999999999714e-01
9.660214168039539251e-01,1.562500000000000000e-01,9.426999999999999824e-01
9.658154859967050809e-01,1.493055555555555525e-01,9.423000000000000265e-01
