# trivial,nontrivial,accuracy
1.000000000000000000e+00,0.000000000000000000e+00,9.536000000000000032e-01
1.000000000000000000e+00,0.000000000000000000e+00,9.983999999999999542e-01
1.000000000000000000e+00,0.000000000000000000e+00,9.536000000000000032e-01
1.000000000000000000e+00,0.000000000000000000e+00,9.979999999999999982e-01
1.000000000000000000e+00,0.000000000000000000e+00,9.536000000000000032e-01
1.000000000000000000e+00,0.000000000000000000e+00,9.963999999999999524e-01
1.000000000000000000e+00,0.000000000000000000e+00,9.536000000000000032e-01
1.000000000000000000e+00,0.000000000000000000e+00,9.951999999999999735e-01
1.000000000000000000e+00,2.136752136752136967e-03,9.533000000000000362e-01
1.000000000000000000e+00,1.499999999999999944e-01,9.949000000000000066e-01
1.000000000000000000e+00,6.355932203389830920e-03,9.530999999999999472e-01
1.000000000000000000e+00,1.166666666666666685e-01,9.947000000000000286e-01
1.000000000000000000e+00,0.000000000000000000e+00,9.544000000000000261e-01
1.000000000000000000e+00,4.761904761904761640e-02,9.919999999999999929e-01
1.000000000000000000e+00,1.724137931034482735e-02,9.544000000000000261e-01
1.000000000000000000e+00,1.964285714285714246e-01,9.909999999999999920e-01
9.998950020999579635e-01,1.260504201680672301e-02,9.528999999999999693e-01
9.992920711974110359e-01,1.339285714285714246e-01,9.896000000000000352e-01
9.996856663872589754e-01,1.315789473684210453e-02,9.546999999999999931e-01
9.994926948051947591e-01,7.638888888888889506e-02,9.861999999999999655e-01
9.997900923593618927e-01,1.483050847457627157e-02,9.533000000000000362e-01
9.989853896103896291e-01,9.722222222222222376e-02,9.859999999999999876e-01
9.995800083998319652e-01,2.521008403361344602e-02,9.532000000000000473e-01
9.986745513866231994e-01,1.510416666666666574e-01,9.824000000000000510e-01
9.987394957983193322e-01,1.458333333333333356e-02,9.515000000000000124e-01
9.983633387888707356e-01,1.339285714285714246e-01,9.789999999999999813e-01
9.989495798319327768e-01,1.666666666666666644e-02,9.517999999999999794e-01
9.965220949263502437e-01,9.821428571428571230e-02,9.764000000000000457e-01
9.984230445752733107e-01,2.663934426229508032e-02,9.509999999999999565e-01
9.975369458128078293e-01,1.015625000000000000e-01,9.746000000000000218e-01
9.989478114478114179e-01,5.040322580645160977e-02,9.518999999999999684e-01
9.959958932238193174e-01,9.230769230769231282e-02,9.725000000000000311e-01
9.971662468513854405e-01,1.059322033898305038e-02,9.506000000000000005e-01
9.963947259991758898e-01,5.821917808219177759e-02,9.689999999999999725e-01
9.975799663299663722e-01,3.427419354838709409e-02,9.497999999999999776e-01
9.958982772764560787e-01,1.008064516129032195e-01,9.737000000000000099e-01
9.979114452798663049e-01,4.009433962264150747e-02,9.573000000000000398e-01
9.962993421052631637e-01,8.088235294117647467e-02,9.714000000000000412e-01
9.980150438779774591e-01,5.373831775700934482e-02,9.576000000000000068e-01
9.971062422488631283e-01,6.172839506172839164e-02,9.667999999999999927e-01
9.978033472803347070e-01,4.772727272727272929e-02,9.559999999999999609e-01
9.950657894736841813e-01,9.558823529411764053e-02,9.706000000000000183e-01
9.962624584717607590e-01,3.804347826086956763e-02,9.609999999999999654e-01
9.931761786600495912e-01,8.841463414634145868e-02,9.635000000000000231e-01
9.967559648388446547e-01,8.333333333333332871e-02,9.562000000000000499e-01
9.911120297643654098e-01,1.388888888888888951e-01,9.635000000000000231e-01
9.947545111204364465e-01,4.914529914529914417e-02,9.505000000000000115e-01
9.930382377389859183e-01,1.170212765957446832e-01,9.600999999999999535e-01
9.959136630343671248e-01,7.894736842105262720e-02,9.540999999999999481e-01
9.913864674138647137e-01,7.692307692307692735e-02,9.580999999999999517e-01
9.944327731092437173e-01,6.666666666666666574e-02,9.498999999999999666e-01
9.896875000000000533e-01,1.625000000000000056e-01,9.566000000000000059e-01
9.936165759732105141e-01,7.432432432432432845e-02,9.527999999999999803e-01
9.915325994919559349e-01,9.963768115942028825e-02,9.423000000000000265e-01
9.960100797984040577e-01,6.092436974789915832e-02,9.515000000000000124e-01
9.896755162241888115e-01,1.122047244094488139e-01,9.451000000000000512e-01
9.937212222687317187e-01,3.378378378378378566e-02,9.510999999999999455e-01
9.922898183354457169e-01,1.015037593984962350e-01,9.448999999999999622e-01
9.958228905597326097e-01,6.132075471698113234e-02,9.562000000000000499e-01
9.930203045685279672e-01,6.985294117647058987e-02,9.427999999999999714e-01
9.950836820083681644e-01,4.545454545454545581e-02,9.533000000000000362e-01
9.913282571912013230e-01,6.250000000000000000e-02,9.407999999999999696e-01
9.942372170997485492e-01,6.359649122807017885e-02,9.517999999999999794e-01
9.878640776699029180e-01,6.297709923664121523e-02,9.394000000000000128e-01
9.935735356089338000e-01,8.070866141732283006e-02,9.472000000000000419e-01
9.858171041490262354e-01,7.427536231884057649e-02,9.354999999999999982e-01
9.930526315789474090e-01,6.800000000000000488e-02,9.467999999999999750e-01
9.841354344122658082e-01,6.250000000000000000e-02,9.281000000000000361e-01
9.929085520745131177e-01,8.695652173913043237e-02,9.428999999999999604e-01
9.875266524520255329e-01,1.225806451612903164e-01,9.338999999999999524e-01
9.936628643852978282e-01,7.142857142857142461e-02,9.445999999999999952e-01
9.868082368082368161e-01,7.988165680473373331e-02,9.254999999999999893e-01
9.923986486486486847e-01,4.924242424242424032e-02,9.425999999999999934e-01
9.863399826539461790e-01,8.891752577319587958e-02,9.166999999999999593e-01
9.924947145877378585e-01,7.777777777777777901e-02,9.431000000000000494e-01
9.850473321858863596e-01,8.096590909090908839e-02,9.213999999999999968e-01
9.907838983050847315e-01,8.928571428571428770e-02,9.403000000000000247e-01
9.846585998271391027e-01,7.930107526881720326e-02,9.173000000000000043e-01
9.903642524354087096e-01,1.025179856115107924e-01,9.409999999999999476e-01
9.841442224152910923e-01,9.595959595959595301e-02,9.137999999999999456e-01
9.906740144128868275e-01,8.510638297872340219e-02,9.395999999999999908e-01
9.836154513888888395e-01,7.653061224489796088e-02,9.124999999999999778e-01
9.889923793395427598e-01,7.427536231884057649e-02,9.385000000000000009e-01
9.860748476936466167e-01,7.178217821782177654e-02,9.122000000000000108e-01
9.931318681318681563e-01,5.037313432835820864e-02,9.425999999999999934e-01
9.824005247048535061e-01,9.976525821596243793e-02,9.072000000000000064e-01
9.913939651508711925e-01,9.863945578231292366e-02,9.388999999999999568e-01
9.796739130434782838e-01,8.375000000000000500e-02,9.080000000000000293e-01
9.902335456475583886e-01,6.034482758620689918e-02,9.363000000000000211e-01
9.840103716508210585e-01,8.736559139784946804e-02,9.173000000000000043e-01
9.905359421522755836e-01,8.724832214765100569e-02,9.366999999999999771e-01
9.834566826295167985e-01,5.788177339901477703e-02,9.082999999999999963e-01
9.918085106382978910e-01,8.999999999999999667e-02,9.376999999999999780e-01
9.819029042045946953e-01,6.994818652849740803e-02,9.114999999999999769e-01
9.917735042735043027e-01,8.437500000000000555e-02,9.336999999999999744e-01
9.803502776591200840e-01,9.591194968553459765e-02,9.241000000000000325e-01
9.887483926275182355e-01,6.886227544910179799e-02,9.273000000000000131e-01
9.842536669542709671e-01,6.456043956043956700e-02,9.173000000000000043e-01
9.888459888459888436e-01,6.213017751479289752e-02,9.262000000000000233e-01
9.822345890410958402e-01,8.231707317073171104e-02,9.232000000000000206e-01
9.888888888888889284e-01,9.218750000000000555e-02,9.314999999999999947e-01
9.824691882702932810e-01,9.353741496598640126e-02,9.302000000000000268e-01
9.907328504473796871e-01,5.882352941176470507e-02,9.336999999999999744e-01
9.853191489361702304e-01,8.500000000000000611e-02,9.313000000000000167e-01
9.901960784313725839e-01,6.980519480519480069e-02,9.334999999999999964e-01
9.835805084745762317e-01,6.607142857142857262e-02,9.322000000000000286e-01
9.899999999999999911e-01,8.000000000000000167e-02,9.354000000000000092e-01
9.883207070707070718e-01,8.467741935483870386e-02,9.435000000000000053e-01
9.930585219991456825e-01,4.245283018867924280e-02,9.325999999999999845e-01
9.899623588456712975e-01,7.568807339449541705e-02,9.500999999999999446e-01
9.908954584404455757e-01,3.162650602409638328e-02,9.272000000000000242e-01
9.867869127516778471e-01,7.327586206896551102e-02,9.444000000000000172e-01
9.931330472103003792e-01,6.176470588235294379e-02,9.297999999999999599e-01
9.909261576971214458e-01,1.019417475728155303e-01,9.543000000000000371e-01
9.947604790419161125e-01,4.012345679012345456e-02,9.328999999999999515e-01
9.929798826487845620e-01,7.017543859649122417e-02,9.508999999999999675e-01
9.950770547945205768e-01,3.201219512195122019e-02,9.318999999999999506e-01
9.877134527280300169e-01,1.186868686868686878e-01,9.533000000000000362e-01
9.923273657289002347e-01,4.383116883116883189e-02,9.338999999999999524e-01
9.910304547350855531e-01,4.611650485436893238e-02,9.520999999999999464e-01
9.952931108258451509e-01,3.680981595092024800e-02,9.327999999999999625e-01
9.908599916909015537e-01,7.526881720430107781e-02,9.567999999999999838e-01
9.931477516059956656e-01,3.939393939393939087e-02,9.302000000000000268e-01
9.899710504549213974e-01,8.841463414634145868e-02,9.604000000000000314e-01
9.938998287671232390e-01,6.250000000000000000e-02,9.327999999999999625e-01
9.887163561076605101e-01,5.000000000000000278e-02,9.567999999999999838e-01
9.931536157466838155e-01,2.914110429447852590e-02,9.303000000000000158e-01
9.904202719406675071e-01,6.164383561643835274e-02,9.633000000000000451e-01
9.921841541755889171e-01,5.000000000000000278e-02,9.300000000000000488e-01
9.880319148936169693e-01,3.571428571428571230e-02,9.667000000000000037e-01
9.931653139683895848e-01,3.930817610062892903e-02,9.324999999999999956e-01
9.936003303055326308e-01,6.089743589743589619e-02,9.645000000000000240e-01
9.946397941680960031e-01,3.125000000000000000e-02,9.298999999999999488e-01
9.896473964739647133e-01,7.786885245901639663e-02,9.674000000000000377e-01
9.938946015424164893e-01,3.012048192771084321e-02,9.298999999999999488e-01
9.907369287772745947e-01,7.746478873239436014e-02,9.647999999999999909e-01
9.922813036020583510e-01,3.869047619047619180e-02,9.282000000000000250e-01
9.932851239669421295e-01,9.687500000000000278e-02,9.646000000000000130e-01
9.962397937258272718e-01,4.479768786127167474e-02,9.304000000000000048e-01
